"Feeder:
InternalId","Feeder:
ObjectId","Feeder:
ID","Feeder:
Name","Feeder:
ColdLoadSetNo","Feeder:
FeederCode","Feeder:
FeederMVARPercent","Feeder:
FeederMWPercent","Feeder:
InverseColdModel","Feeder:
Parent","Feeder:
ObjectType"
757550,{271f4171-a3cb-4235-bf91-3867000e87e3},_271f4171-a3cb-4235-bf91-3867000e87e3,3,1,3,33.329999999999998,33.329999999999998,false,_cdca8920-fbc9-4e14-9e26-59330ece6f4a,Feeder
757553,{e388a6a0-f83a-4c74-b4d8-a25a068dfd94},_e388a6a0-f83a-4c74-b4d8-a25a068dfd94,1,1,1,33.329999999999998,33.329999999999998,false,_2d108c8b-4358-4db9-b182-689c84e8c132,Feeder
757554,{7bb330e0-7a9d-4ff0-a3a5-f16a5c26cd2a},_7bb330e0-7a9d-4ff0-a3a5-f16a5c26cd2a,2,1,2,33.329999999999998,33.329999999999998,false,_2d108c8b-4358-4db9-b182-689c84e8c132,Feeder
757555,{2201eae9-d35e-423d-9639-451f0e77d2e3},_2201eae9-d35e-423d-9639-451f0e77d2e3,3,1,3,33.329999999999998,33.329999999999998,false,_2d108c8b-4358-4db9-b182-689c84e8c132,Feeder
757558,{60f1399d-3552-4dad-8306-f37ea691ae9f},_60f1399d-3552-4dad-8306-f37ea691ae9f,1,1,1,33.329999999999998,33.329999999999998,false,_50151ff9-10ef-42f6-870d-96714cadd2f7,Feeder
757559,{15307faf-21d4-4913-87c9-2fbb8beabd7d},_15307faf-21d4-4913-87c9-2fbb8beabd7d,2,1,2,33.329999999999998,33.329999999999998,false,_50151ff9-10ef-42f6-870d-96714cadd2f7,Feeder
757560,{06e5e83d-3124-4ff7-b5c6-71065d4c5c45},_06e5e83d-3124-4ff7-b5c6-71065d4c5c45,3,1,3,33.329999999999998,33.329999999999998,false,_50151ff9-10ef-42f6-870d-96714cadd2f7,Feeder
757563,{8eecfdc0-b19f-4985-be4c-149406e3ac61},_8eecfdc0-b19f-4985-be4c-149406e3ac61,1,1,1,33.329999999999998,33.329999999999998,false,_83f15a0b-40c2-4a24-a3ac-677c4ff84c8c,Feeder
757564,{3ace7d6e-0daa-4f72-914d-037df246145a},_3ace7d6e-0daa-4f72-914d-037df246145a,2,1,2,33.329999999999998,33.329999999999998,false,_83f15a0b-40c2-4a24-a3ac-677c4ff84c8c,Feeder
757565,{44062067-0470-4f74-a4c0-8ed410749cc4},_44062067-0470-4f74-a4c0-8ed410749cc4,3,1,3,33.329999999999998,33.329999999999998,false,_83f15a0b-40c2-4a24-a3ac-677c4ff84c8c,Feeder
758748,{01612851-521c-4252-8105-f653639f61a6},_01612851-521c-4252-8105-f653639f61a6,1,1,1,33.329999999999998,33.329999999999998,false,_74d7f30f-d02c-4acb-a004-1229d9aa3cdc,Feeder
758749,{e1565eba-7311-47df-932e-55fe76611e27},_e1565eba-7311-47df-932e-55fe76611e27,2,1,2,33.329999999999998,33.329999999999998,false,_74d7f30f-d02c-4acb-a004-1229d9aa3cdc,Feeder
758750,{ab93686b-afa7-4447-859f-76fdd3d670fc},_ab93686b-afa7-4447-859f-76fdd3d670fc,3,1,3,33.329999999999998,33.329999999999998,false,_74d7f30f-d02c-4acb-a004-1229d9aa3cdc,Feeder
758753,{809b6b25-dd1c-4708-9ad3-1cfda692c686},_809b6b25-dd1c-4708-9ad3-1cfda692c686,1,1,1,33.329999999999998,33.329999999999998,false,_3a0d7cfa-034c-44b8-96d9-463ddf557346,Feeder
