"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","ReactiveCapabilityCurve:
Path","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","SynchronousMachine:
ReactiveCapabilityCurveMemberOfSynchronousMachine:
ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType"
_93bd01c0-aefc-4153-a02b-03a3bf4ed0cc,861871,UNPQ1,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine,Network/.MVAr Capability Curves/01TCC-PQ1,862154,01TCC-PQ1,_ff075f82-7122-4eaf-9971-75743e3e0df4,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_aa735e82-96f7-4df8-ad28-9e7334357327,861873,UNPQ2,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine,Network/.MVAr Capability Curves/01TCC-PQ2,862160,01TCC-PQ2,_ba639a33-92ab-4b50-b18c-8a9b28384e6b,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_8c132ccb-a099-48eb-9f9f-bace2659a30f,861875,UN-03,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine,Network/.MVAr Capability Curves/01TCC-U3,862166,01TCC-U3,_53a804fb-1bb5-4835-a33d-1972d3e74fdb,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_6176bb9f-e269-4cda-94dd-500b0ae548a7,861877,UN-06,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine,Network/.MVAr Capability Curves/01TCC-U6,862172,01TCC-U6,_5904bff1-efdf-4157-b3d9-d0e4d936cda6,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_95075823-0156-449e-90b2-d3e297d136e8,861928,UN-07,_8206267f-7655-4ed0-a726-61658f190794,SynchronousMachine,Network/.MVAr Capability Curves/01TCC-U7,862380,01TCC-U7,_a1d62c08-40f4-45d1-96c0-4beb9f204f18,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_bcc8920c-b736-47c4-b376-8debc31ebf1a,861930,UN-08,_8206267f-7655-4ed0-a726-61658f190794,SynchronousMachine,Network/.MVAr Capability Curves/01TCC-U8,862386,01TCC-U8,_95cbfad8-f3e8-4f2a-bab3-4e9fcbaf6771,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_61d06162-0d85-46dc-b9e0-ef12ddb8cef9,863655,UN-01,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine,Network/.MVAr Capability Curves/01TEP-U1,863676,01TEP-U1,_e28a673f-8533-44de-a10f-f16d9a42513c,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_d7e5222a-2d1d-46bb-af11-cdf4b3d8a77f,863657,UN-02,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine,Network/.MVAr Capability Curves/01TEP-U2,863682,01TEP-U2,_43479554-afb9-47b5-9614-4c45338bb9b8,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_d107bb65-dff9-4307-a15d-ba155a7cfffd,863659,UN-03,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine,Network/.MVAr Capability Curves/01TEP-U3,863688,01TEP-U3,_e00796d1-b199-42ac-bf56-6dbff4d4ef0a,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_716c5273-5ea0-4d93-b4f4-a9ec977784f9,870134,UN-01,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,Network/.MVAr Capability Curves/01TUL-U1,870888,01TUL-U1,_e930bb3c-f815-4a34-a905-91259403435e,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
