"ConformLoad:
ID","ConformLoad:
Name","ConformLoad:
NAFlag","ConformLoad:
InternalId","ConformLoad:
Parent","ConformLoad:
ObjectType","ConformLoadGroup:
Path","ConformLoadGroup:
InternalId","ConformLoadGroup:
Name","ConformLoad:
ConformLoadAssignedToConformLoadGroup:
ConformLoadGroup:
ID","ConformLoadGroup:
Parent","ConformLoadGroup:
ObjectType"
_18a5bf5f-f296-4c58-95a2-51d1eea6a770,T3 AUX U3    CA,true,883171,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VIL T3 AUX U3    CA-LG,883720,01   VIL T3 AUX U3    CA-LG,_ca016b5c-139a-49d1-bf19-f8d071c5e7da,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_5c541b42-ea42-40e7-b1cd-9c369f2c16da,T4 AUX U4    CA,true,883176,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VIL T4 AUX U4    CA-LG,883821,01   VIL T4 AUX U4    CA-LG,_5c586ab9-7017-42e8-a5cd-7ad65a7f480a,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_fbb2c0cf-9473-4a89-af3b-d5cb86fb464e,T-01  85\23,true,884131,_0074882d-01f5-41d9-9e0c-c121b777da21,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VIT  T-01  85_23-LG,884153,01   VIT  T-01  85_23-LG,_d72eb0c8-3dbe-4a32-831a-07f0ebff4933,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_df3e65b6-fb3c-4e97-bc08-cc8a5bc3f69e,T-02  85\23,true,884136,_0074882d-01f5-41d9-9e0c-c121b777da21,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VIT  T-02  85_23-LG,884254,01   VIT  T-02  85_23-LG,_bf96e445-1d79-4fed-834c-2af56c2df96b,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_d370c4cf-bcb6-4507-ad24-269656062377,T04 AUX U1   CA,true,884983,_7c93661b-9955-4951-8f2e-4dc48c50a290,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VMD T04 AUX U1   CA-LG,885016,01   VMD T04 AUX U1   CA-LG,_8d436449-9f1f-4fc3-8293-3eaca97ffb88,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_fba75f86-3dd8-49f7-9cff-ab31ba85512b,T05 AUX U2   CA,true,884988,_7c93661b-9955-4951-8f2e-4dc48c50a290,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VMD T05 AUX U2   CA-LG,885117,01   VMD T05 AUX U2   CA-LG,_5cd48df4-f9bf-424f-8a1f-7a97a81eaa58,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_ec28e7a9-8774-48d8-b2c2-351d8d43ef58,T-01 230\23,true,885716,_0afdf1c7-ea55-4b03-a490-f8db50df8d8f,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VRN  T-01 230_23-LG,885864,01   VRN  T-01 230_23-LG,_7b76280d-0190-47ca-98f6-d7f26744cda2,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_8460f64f-90d1-466b-ae9a-09aa125929b4,T-02 230\23,true,885721,_0afdf1c7-ea55-4b03-a490-f8db50df8d8f,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VRN  T-02 230_23-LG,885965,01   VRN  T-02 230_23-LG,_7eb5b906-bddc-46ac-a9af-f2aa2f425826,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_7518364e-effc-4357-8575-bc643dab3f9b,T-01  85\23,true,886450,_070d92a6-09d8-4265-8def-a87c879913fb,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VTU  T-01  85_23-LG,886472,01   VTU  T-01  85_23-LG,_4df9d221-19ab-4055-bcc7-bc71fbfe110c,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_f05d882c-34fc-42dc-b973-b4a82a605ad8,T-02  85\23,true,886455,_070d92a6-09d8-4265-8def-a87c879913fb,ConformLoad,Network/.Load Areas/SIN/01CEL/01   VTU  T-02  85_23-LG,886573,01   VTU  T-02  85_23-LG,_3cdda2c1-2667-42da-8345-88fcd572475e,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
