ID,Path,Name,Description,ElementName,ElementText,IncludeInSE,MeasurementType,mRID,InternalId,Parent,ObjectType
_5208f80f-fe79-4e29-a10d-4a03346dd666,Network/Companies/SIN/03OCC/03   BPS/13.8/4145  F4A/P,P,03   BPS 4145  F4A             MW,P (1631),4145  F4A             MW,true,Real power,,2932294,_9686f7f1-15e4-4b12-981a-96abaa605843,Analog
_988f4b67-d94b-46a5-a7e1-4dab4403ae5f,Network/Companies/SIN/03OCC/03   BPS/13.8/4145  F4A/Q,Q,03   BPS 4145  F4A           MVAR,Q (1642),4145  F4A           MVAR,true,Reactive power,,2932302,_9686f7f1-15e4-4b12-981a-96abaa605843,Analog
_02e671ed-b9ca-4c5c-b545-0a4d2bb4ae97,Network/Companies/SIN/03OCC/03   BPS/13.8/4145  F4B/P,P,03   BPS 4145  F4B             MW,P (1631),4145  F4B             MW,true,Real power,,2932310,_0e069720-83a8-4d8c-8412-f419d1af181d,Analog
_49f75364-a882-45c4-94bf-65cec1616e8d,Network/Companies/SIN/03OCC/03   BPS/13.8/4145  F4B/Q,Q,03   BPS 4145  F4B           MVAR,Q (1642),4145  F4B           MVAR,true,Reactive power,,2932318,_0e069720-83a8-4d8c-8412-f419d1af181d,Analog
_e61ccc1c-423f-4c31-af5c-f0ecc86ac6d3,Network/Companies/SIN/03OCC/03   BPS/13.8/T-32 13.8\2.3/P,P,03   BPS T -32    13.8/2.3     MW,P (1631),T -32    13.8/2.3     MW,true,Real power,,2932370,_87cf80e7-6f86-4619-96e2-6909924ba265,Analog
_93eaea02-3f12-4860-8b29-156c5289aad1,Network/Companies/SIN/03OCC/03   BPS/13.8/T-32 13.8\2.3/Q,Q,03   BPS T -32    13.8/2.3   MVAR,Q (1642),T -32    13.8/2.3   MVAR,true,Reactive power,,2932378,_87cf80e7-6f86-4619-96e2-6909924ba265,Analog
_2c374f93-c1ec-4cf2-9918-286449237ddf,Network/Companies/SIN/03OCC/03   BPS/13.8/UN-01/P,P,03   BPS UN-01                 MW,P (1631),UN-01                 MW,true,Real power,,2932390,_877c52d2-eb46-4ff5-be96-5e44b7d6b8a0,Analog
_7d89bdbe-92d9-48e3-bda2-64463e59cefc,Network/Companies/SIN/03OCC/03   BPS/13.8/UN-01/Q,Q,03   BPS UN-01               MVAR,Q (1642),UN-01               MVAR,true,Reactive power,,2932395,_877c52d2-eb46-4ff5-be96-5e44b7d6b8a0,Analog
_b179e87f-8e62-4e2c-b3a8-ff50f56b1652,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-01/P,P,03   CFO CG-51015 FVOLT        MW,P (1631),CG-51015 FVOLT        MW,true,Real power,,2934074,_bc392413-ca90-4cde-8606-3d5066944897,Analog
_fd13ce6b-cc6c-4ba8-b9e9-257fbcdad80f,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-01/Q,Q,03   CFO CG-51015 FVOLT      MVAR,Q (1642),CG-51015 FVOLT      MVAR,true,Reactive power,,2934078,_bc392413-ca90-4cde-8606-3d5066944897,Analog
_27a4a72f-77ed-44f7-9328-425d904e3d49,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-02/P,P,03   CFO CG-51025 FVOLT        MW,P (1631),CG-51025 FVOLT        MW,true,Real power,,2934092,_24bf841a-bfcb-49a5-bac5-f2cba0cbfe43,Analog
_6f3ac2db-e443-4949-b7a4-083cc8a2e290,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-02/Q,Q,03   CFO CG-51025 FVOLT      MVAR,Q (1642),CG-51025 FVOLT      MVAR,true,Reactive power,,2934096,_24bf841a-bfcb-49a5-bac5-f2cba0cbfe43,Analog
_76dee092-cc09-48a4-a7fe-3da806b50ddd,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-03/P,P,03   CFO CG-51035 FVOLT        MW,P (1631),CG-51035 FVOLT        MW,true,Real power,,2934110,_26b5356a-1694-464f-8af5-366995cc14dc,Analog
_a10d0b86-c407-4a96-bc10-907fa5d6887e,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-03/Q,Q,03   CFO CG-51035 FVOLT      MVAR,Q (1642),CG-51035 FVOLT      MVAR,true,Reactive power,,2934114,_26b5356a-1694-464f-8af5-366995cc14dc,Analog
_87c7ab80-db72-4905-857f-2b06f4bf8337,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-04/P,P,03   CFO CG-51045 FVOLT        MW,P (1631),CG-51045 FVOLT        MW,true,Real power,,2934128,_f4e98cae-123d-474e-9787-949744036011,Analog
_0231b651-a966-474c-8944-f9dd2bf93be3,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-04/Q,Q,03   CFO CG-51045 FVOLT      MVAR,Q (1642),CG-51045 FVOLT      MVAR,true,Reactive power,,2934132,_f4e98cae-123d-474e-9787-949744036011,Analog
_e4bc2bd9-0f24-48c6-a9d1-7063a8db0724,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-05/P,P,03   CFO CG-51055 FVOLT        MW,P (1631),CG-51055 FVOLT        MW,true,Real power,,2934146,_0b06cb0f-997e-4666-85c8-8654be44f82c,Analog
