"NonConformLoad:
ID","NonConformLoad:
Name","NonConformLoad:
Path","NonConformLoad:
LogbookText","NonConformLoad:
NAFlag","NonConformLoad:
ODBName","NonConformLoad:
SCADAFlag","NonConformLoad:
ShortID","NonConformLoad:
InternalId","NonConformLoad:
Parent","NonConformLoad:
ObjectType","NonConformLoadGroup:
Path","NonConformLoadGroup:
InternalId","NonConformLoadGroup:
Name","NonConformLoad:
NonConformLoadAssignedToNonConformLoadGroup:
NonConformLoadGroup:
ID","NonConformLoadGroup:
Parent","NonConformLoadGroup:
ObjectType"
_3c4c7005-7559-4168-a0d3-b8c708038298,73270 LAL-TUL,Network/Companies/SIN/05NTE/05LGALAL/115/73270 LAL-TUL,73270 LAL-TUL,true,LALN0171,true,1,1657679,_5e4c191d-dfe1-428f-86dc-71499301e340,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGALGD 73270 LAL-TUL-LG,1657684,05LGALGD 73270 LAL-TUL-LG,_9ebf4c68-fc64-4a13-a63a-eacf30bf26b9,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_2e585def-19f0-442c-99c9-a9fe3fedd823,CARGA LJT,Network/Companies/SIN/05NTE/05LGALJT/115/CARGA LJT,CARGA LJT,true,LJTN0171,true,1,1658452,_3c7d27f8-4c55-4aca-8122-0203a15ff4ff,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGALJT CARGA LJT-LG,1658457,05LGALJT CARGA LJT-LG,_d285958b-5144-4cca-8c17-a1105e48ced3,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_76c643e7-573f-42be-9e3f-4589f5f62a5c,CARGA QRE,Network/Companies/SIN/05NTE/05LGALRE/115/CARGA QRE,CARGA QRE,true,LREN0171,true,1,1658596,_e6bbb124-312f-4d90-b5b1-6edb1e439ab4,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGALRE CARGA QRE-LG,1658623,05LGALRE CARGA QRE-LG,_9cd885d0-3a98-4b86-aa86-1bbffc5105ea,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_e49e8791-4aa9-47b4-9363-bcccc6e572e9,CARGA MAU,Network/Companies/SIN/05NTE/05LGAMAU/13.8/CARGA MAU,CARGA MAU,true,MAUN0141,true,1,1659661,_5b20ffa3-7063-4536-a2a9-57ee02e1fe4c,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGAMAU CARGA MAU-LG,1659672,05LGAMAU CARGA MAU-LG,_70f3f77b-7659-42f3-97c7-3da9a4da969a,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_4a2de37a-9ba5-45e7-bb1e-89f5ff255020,CARGA CMM-FDL,Network/Companies/SIN/05NTE/05LGAMMI/115/CARGA CMM-FDL,CARGA CMM-FDL,true,MMIN0171,true,1,1660127,_ebd9aa55-d267-4577-ab96-d8ca4494e08e,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGAMMI CARGA CMM-FDL-LG,1660153,05LGAMMI CARGA CMM-FDL-LG,_3421a1ba-d0c7-4ead-bd64-cdc14d8ec510,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_5fd4d0ae-cd66-461b-96b0-8de0a0fb6c61,CARGA MMI,Network/Companies/SIN/05NTE/05LGAMMI/13.8/CARGA MMI,CARGA MMI,true,MMIN0141,true,1,1660136,_19166171-9956-487c-8880-de1f6724d0f0,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGAMMI CARGA MMI-LG,1660254,05LGAMMI CARGA MMI-LG,_637e6afa-7bd4-45e0-bd55-adcfd7c2c5a2,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_c442a45a-ef90-46d9-a577-c400fdf1e059,CARGA MRO,Network/Companies/SIN/05NTE/05LGAMRO/115/CARGA MRO,CARGA MRO,true,MRON0171,true,1,1660396,_4d64d3a1-803a-4bd6-89b4-d9355c9a3736,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGAMRO CARGA MRO-LG,1660401,05LGAMRO CARGA MRO-LG,_fff38c38-49c4-4fff-a092-4ef19e0669db,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_8697ea3f-327b-47ec-bb40-01a570750e5a,CARGA PHS,Network/Companies/SIN/05NTE/05LGAPHS/115/CARGA PHS,CARGA PHS,true,PHSN0171,true,1,1660743,_759efab6-552a-4f6c-a997-9e0e62d5db40,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGAPHS CARGA PHS-LG,1660748,05LGAPHS CARGA PHS-LG,_9ecfbb58-197a-448a-9975-30ef46a4a569,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_4ffcc051-55c9-484e-9c6b-96affee8d6d6,CARGA REM,Network/Companies/SIN/05NTE/05LGAREM/115/CARGA REM,CARGA REM,true,REMN0171,true,1,1661514,_ef63ebc5-1072-4f44-8136-0fdf0e52894a,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGAREM CARGA REM-LG,1661519,05LGAREM CARGA REM-LG,_2da7b9d7-aca5-4b00-9501-07feae2648c9,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_bfcddb2c-12bd-421a-924e-f9f446f521b2,CARGA RLU,Network/Companies/SIN/05NTE/05LGARLU/115/CARGA RLU,CARGA RLU,true,RLUN0171,true,1,1661627,_9df72a4b-a301-4703-b0db-ffbd5b394d70,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGARLU CARGA RLU-LG,1661632,05LGARLU CARGA RLU-LG,_cc26c853-c4b0-4b87-8428-dc2570f85d13,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
