TableName,ID,Path,ShortID,Description,NAFlag,pfixedPct,qfixedPct,InternalId,Name,Parent,ObjectType
NonConformLoad,_bf2dc1ee-1280-4f7b-9bb7-c5826369a2e3,Network/Companies/SIN/01CEL/01   PEX/85/T-01  85\23,1,01   PEX  T-01  85/23,true,100,100,835115,T-01  85\23,_91ddb38b-345f-4985-80f1-ab4eac31a670,NonConformLoad
NonConformLoad,_a9451523-67f9-4ab5-b3b7-102abdba5ae9,Network/Companies/SIN/01CEL/01   PEX/85/T-02  85\23,2,01   PEX  T-02  85/23,true,100,100,835120,T-02  85\23,_91ddb38b-345f-4985-80f1-ab4eac31a670,NonConformLoad
NonConformLoad,_fd8cc527-f3c9-40a7-a871-72ca411fd820,Network/Companies/SIN/01CEL/01   PHC/230/T01,1,01   PHC T01,true,100,100,835415,T01,_c19f43d7-1604-47d5-b70a-9052d405ca11,NonConformLoad
NonConformLoad,_d2b1fa16-111e-4ec4-8740-04adb623b0c6,Network/Companies/SIN/01CEL/01   PMX/115/T-01 72010,1,01   PMX  T-01 72010,true,100,100,837126,T-01 72010,_0657a030-bad0-49b1-806c-01243206d2ce,NonConformLoad
NonConformLoad,_5f96da03-ff87-4751-bb1c-1f90c7a05709,Network/Companies/SIN/01CEL/01   PMX/115/T-02 72020,2,01   PMX  T-02 72020,true,100,100,837131,T-02 72020,_0657a030-bad0-49b1-806c-01243206d2ce,NonConformLoad
NonConformLoad,_0c9211fa-240c-4825-8470-5dcdab51f0c8,Network/Companies/SIN/01CEL/01   PTA/230/T 01,1,01   PTA T 01,true,100,100,839182,T 01,_0d04dbbf-1554-4a56-984a-6303e77329fa,NonConformLoad
NonConformLoad,_ab2e771e-f5b7-4f28-bd31-6976be85b88a,Network/Companies/SIN/01CEL/01   PXA/85/CLIENTE 85CA,1,01   PXA CLIENTE 85CA,true,100,100,839775,CLIENTE 85CA,_d2293561-869c-4fcd-b143-f734d1e860ad,NonConformLoad
NonConformLoad,_adaf967e-c288-472f-8384-d0d825d595c9,Network/Companies/SIN/01CEL/01   PYG/230/230CA,1,01   PYG 230CA,true,100,100,839899,230CA,_f73f3b60-c64f-4913-98b5-d94c01e5083f,NonConformLoad
NonConformLoad,_9050442c-860a-495d-9c3b-1715f95156d3,Network/Companies/SIN/01CEL/01   SCD/230/AT-01 230\115,1,01   SCD AT-01 230/115,true,100,100,858292,AT-01 230\115,_46e6e487-48eb-43b8-9a58-81d5f616d9d3,NonConformLoad
NonConformLoad,_5a6efe04-2554-4591-b67e-be3790cc6e56,Network/Companies/SIN/01CEL/01   SCD/230/AT-02 230\115,2,01   SCD AT-02 230/115,true,100,100,858297,AT-02 230\115,_46e6e487-48eb-43b8-9a58-81d5f616d9d3,NonConformLoad
NonConformLoad,_d53d1e72-795b-4ba6-b280-ef9c681354c2,Network/Companies/SIN/01CEL/01   SKP/23/T-01  85\23,1,01   SKP  T-01  85/23,true,100,100,858514,T-01  85\23,_d2639733-ce1e-4924-b59f-6b79a01d4881,NonConformLoad
NonConformLoad,_66c29535-3c7c-4810-b11c-0103293085a9,Network/Companies/SIN/01CEL/01   SSP/23/T-01  85\23,1,01   SSP  T-01  85/23,true,100,100,859442,T-01  85\23,_20191d67-fcca-4712-a6fe-15c6b968d48b,NonConformLoad
NonConformLoad,_80f79c6b-35e4-48f0-83c9-59c5f4106d25,Network/Companies/SIN/01CEL/01   SSP/23/T-02  85\23,2,01   SSP  T-02  85/23,true,100,100,859447,T-02  85\23,_20191d67-fcca-4712-a6fe-15c6b968d48b,NonConformLoad
NonConformLoad,_3b14f88f-6378-424c-850f-b270b6f8e06f,Network/Companies/SIN/01CEL/01   TLT/85/CRG TLT,1,01   TLT CRG TLT,true,100,100,865982,CRG TLT,_b29723f1-6aa5-491d-ae78-3edda7e34089,NonConformLoad
NonConformLoad,_3d171072-5199-45d3-81c3-bb615a9e3d31,Network/Companies/SIN/01CEL/01   TRX/23/T-01  85\23,1,01   TRX  T-01  85/23,true,100,100,868258,T-01  85\23,_22e0079e-e7ba-45b7-af23-4f092db82887,NonConformLoad
NonConformLoad,_d98f271d-a79c-4c7f-866d-7dfdc0d1a0bc,Network/Companies/SIN/01CEL/01   VAJ/230/LT-TREN,1,01   VAJ LT-TREN,true,100,100,874226,LT-TREN,_cf1f4376-b11b-42ac-8311-61d9e1ccaabe,NonConformLoad
NonConformLoad,_09e47083-922a-45d5-97b2-04bcb251656f,Network/Companies/SIN/01CEL/01   VFI/85/CARGA  CLIENTE,1,01   VFI CARGA  CLIENTE,true,100,100,879209,CARGA  CLIENTE,_4e2aa146-2563-4b43-b145-c0eada42dfed,NonConformLoad
NonConformLoad,_68a9074e-d021-48e9-9a0d-fe9d8a4d1856,Network/Companies/SIN/01CEL/01   VIC/230/FFCC -FNL 230CA,12,01   VIC FFCC -FNL 230CA,true,100,100,879673,FFCC -FNL 230CA,_3659a11a-62ae-4042-8ad2-fdbc3039b186,NonConformLoad
NonConformLoad,_03b4145a-6f04-47e1-991b-a5fe1714115f,Network/Companies/SIN/01CEL/01   VIC/85/FUME -FUM  85CA,14,01   VIC FUME -FUM  85CA,true,100,100,880027,FUME -FUM  85CA,_d945fc59-c03a-45ab-935f-fc44fde2a0a2,NonConformLoad
NonConformLoad,_e9e2c0d1-fa34-417f-87d9-3d9613fe11b6,Network/Companies/SIN/01CEL/01   VIL/230/93410-SIC 230CA,2,01   VIL 93410-SIC 230CA,true,100,100,883133,93410-SIC 230CA,_0dd2b751-3c31-4551-8ad9-ed9b6ecd9f3b,NonConformLoad
NonConformLoad,_fb56ea80-3d78-4012-91b8-9760ed08d92d,Network/Companies/SIN/01CEL/01   VIL/230/93420-SIC 230CA,3,01   VIL 93420-SIC 230CA,true,100,100,883138,93420-SIC 230CA,_0dd2b751-3c31-4551-8ad9-ed9b6ecd9f3b,NonConformLoad
NonConformLoad,_d32b4f94-efdd-47db-8d15-226a4be976f0,Network/Companies/SIN/01CEL/01   VIL/230/93430-FTM 230CA,1,01   VIL 93430-FTM 230CA,true,100,100,883143,93430-FTM 230CA,_0dd2b751-3c31-4551-8ad9-ed9b6ecd9f3b,NonConformLoad
NonConformLoad,_848f5956-0e8f-4b29-9580-65ef584100e8,Network/Companies/SIN/01CEL/01   VLR/85/CARGA VLR,1,01   VLR CARGA VLR,true,100,100,884396,CARGA VLR,_ee6917b3-631b-4eec-8575-400aee75b0b7,NonConformLoad
NonConformLoad,_7178d4af-7bdf-4618-ab52-5813c45fa877,Network/Companies/SIN/01CEL/01   VPM/85/CRG CVPM,1,01   VPM CRG CVPM,true,100,100,885327,CRG CVPM,_5c0f8e91-5326-4540-b815-3f0ae1d7e5db,NonConformLoad
NonConformLoad,_43eaf3b3-5075-4331-a9fd-7c59a5eb2e0b,Network/Companies/SIN/01CEL/01   ZAE/85/CARGA  CLIENTE,1,01   ZAE CARGA  CLIENTE,true,100,100,888054,CARGA  CLIENTE,_c3a026f9-2783-4300-9a01-0eff04ec78c9,NonConformLoad
NonConformLoad,_018f99f8-ed72-4cb4-92bf-fad5abfd99d1,Network/Companies/SIN/01CEL/01TLCAAP/85/CARGA,1,01TLCAAP CARGA,true,100,100,889301,CARGA,_ff6241d1-2723-40a9-803a-75121331f2b9,NonConformLoad
NonConformLoad,_e791c5ee-9ebd-4f0e-9860-3f3614014bfa,Network/Companies/SIN/01CEL/01TLCAVT/85/76006 CA,1,01TLCAVT 76006 CA,true,100,100,892642,76006 CA,_c3a5b3b3-afce-4cc5-8c01-fa9b99240275,NonConformLoad
NonConformLoad,_c3fc7cba-0df2-48bf-86e2-71069fc473ee,Network/Companies/SIN/01CEL/01TLCCAY/115/72010 CAR,1,01TLCCAY 72010 CAR,true,100,100,893044,72010 CAR,_5d4906e3-c1a8-491b-98bc-f70cbd15fa3e,NonConformLoad
NonConformLoad,_855b594b-1d66-48db-9f52-1f7ff681d5a5,Network/Companies/SIN/01CEL/01TLCCAY/115/CARGA VIG,2,01TLCCAY CARGA VIG,true,100,100,893049,CARGA VIG,_5d4906e3-c1a8-491b-98bc-f70cbd15fa3e,NonConformLoad
NonConformLoad,_b324ac4b-e53d-4b0b-8660-0887c6d0bfea,Network/Companies/SIN/01CEL/01TLCCOM/23/T-01 115\23,1,01TLCCOM  T-01 115/23,true,100,100,897735,T-01 115\23,_e580bdf9-44c9-4e59-898b-66bcc56309ee,NonConformLoad
NonConformLoad,_214d7610-d267-46a2-9a98-df46c42dfc46,Network/Companies/SIN/01CEL/01TLCCSR/115/CARGA,1,01TLCCSR CARGA,true,100,100,898193,CARGA,_15e29900-b5f8-4a65-8861-98b0af699c87,NonConformLoad
NonConformLoad,_53f030f7-27a3-4424-a5b6-ba7544c3bd84,Network/Companies/SIN/01CEL/01TLCECB/13.8/T-01 115\13.8,1,01TLCECB  T-01 115/13.8,true,100,100,898442,T-01 115\13.8,_29ccbf7d-a1a6-42e5-831e-4564bd5a9d43,NonConformLoad
NonConformLoad,_de35361a-0aba-4c47-9f32-e707825b40ac,Network/Companies/SIN/01CEL/01TLCECB/13.8/T-02 115\13.8,2,01TLCECB  T-02 115/13.8,true,100,100,898447,T-02 115\13.8,_29ccbf7d-a1a6-42e5-831e-4564bd5a9d43,NonConformLoad
NonConformLoad,_6da06381-82df-452e-8ff6-3f4ae94e75a6,Network/Companies/SIN/01CEL/01TLCECB/13.8/T-03 115\13.8,3,01TLCECB  T-03 115/13.8,true,100,100,898452,T-03 115\13.8,_29ccbf7d-a1a6-42e5-831e-4564bd5a9d43,NonConformLoad
NonConformLoad,_f7e83603-0bb2-4d48-857b-87de9d0ff7bd,Network/Companies/SIN/01CEL/01TLCEDB/13.8/T-01 115\13.8,1,01TLCEDB  T-01 115/13.8,true,100,100,898899,T-01 115\13.8,_c70983d9-d8b4-4098-9269-aa847923cf5f,NonConformLoad
NonConformLoad,_173793ac-3d19-4df0-8f2b-dc5cbab6630b,Network/Companies/SIN/01CEL/01TLCEDB/13.8/T-02 115\13.8,2,01TLCEDB  T-02 115/13.8,true,100,100,898904,T-02 115\13.8,_c70983d9-d8b4-4098-9269-aa847923cf5f,NonConformLoad
NonConformLoad,_f00129c5-ebdc-4c60-8932-46d220708b4c,Network/Companies/SIN/01CEL/01TLCENB/13.8/T-01 115\13.8,1,01TLCENB  T-01 115/13.8,true,100,100,899279,T-01 115\13.8,_f4fafa78-fbbd-4706-8a62-73cfe35bc7bc,NonConformLoad
NonConformLoad,_ce56ccee-0ed6-418c-98e7-88d16bdc144f,Network/Companies/SIN/01CEL/01TLCENB/13.8/T-02 115\13.8,2,01TLCENB  T-02 115/13.8,true,100,100,899284,T-02 115\13.8,_f4fafa78-fbbd-4706-8a62-73cfe35bc7bc,NonConformLoad
