"PowerTransformer:
ParentInternalId","PowerTransformer:
ParentId","PowerTransformer:
Parent","PowerTransformer:
ParentName","PowerTransformer:
InternalId","PowerTransformer:
ObjectId","PowerTransformer:
ID","PowerTransformer:
Name","PowerTransformer:
Description","PowerTransformer:
mRID","PowerTransformer:
NAFlag","PowerTransformer:
ODBName","PowerTransformer:
ShortID","PowerTransformer:
ObjectType"
600826,{ab7364ab-6a20-48ee-bcb3-55a539da9707},_ab7364ab-6a20-48ee-bcb3-55a539da9707,01   AMD,751247,{3cc4f01a-7540-4c51-94cc-74bf486b1eb4},_3cc4f01a-7540-4c51-94cc-74bf486b1eb4,01AMD T01 23\6.0,01   AMD  T-01  23/6.0,XF-01   AMD  T-01  23/6.0,true,53-T-01,01,PowerTransformer
600826,{ab7364ab-6a20-48ee-bcb3-55a539da9707},_ab7364ab-6a20-48ee-bcb3-55a539da9707,01   AMD,751252,{4e2e061c-19d3-48e8-a2b4-ab7e15a22690},_4e2e061c-19d3-48e8-a2b4-ab7e15a22690,01AMD T02 23\6.0,01   AMD  T-02  23/6.0,XF-01   AMD  T-02  23/6.0,true,53-T-02,02,PowerTransformer
600826,{ab7364ab-6a20-48ee-bcb3-55a539da9707},_ab7364ab-6a20-48ee-bcb3-55a539da9707,01   AMD,751257,{d630f68c-04ec-4e67-8a91-3d69fd2f8d6e},_d630f68c-04ec-4e67-8a91-3d69fd2f8d6e,01AMD T03 23\6.0,01   AMD  T-03  23/6.0,XF-01   AMD  T-03  23/6.0,true,53-T-03,03,PowerTransformer
600836,{b2b4f0cd-2802-4fa5-86ee-04a6624e0b61},_b2b4f0cd-2802-4fa5-86ee-04a6624e0b61,01   ANL,757329,{82d55b0a-b9f2-4fcb-842c-303a699831d4},_82d55b0a-b9f2-4fcb-842c-303a699831d4,01ANL T01 85\23,01   ANL  T-01  85/23,XF-01   ANL  T-01  85/23,true,75-T-01,01,PowerTransformer
600841,{08c12709-7830-4b41-ab18-0b4e86f6005b},_08c12709-7830-4b41-ab18-0b4e86f6005b,01   ANS,757566,{f71d0f2b-60a5-4684-ade1-120ddb36f437},_f71d0f2b-60a5-4684-ade1-120ddb36f437,01ANS T01 85\23,01   ANS  T-01  85/23,XF-01   ANS  T-01  85/23,true,75-T-01,01,PowerTransformer
600841,{08c12709-7830-4b41-ab18-0b4e86f6005b},_08c12709-7830-4b41-ab18-0b4e86f6005b,01   ANS,757572,{c90d4df7-5fd7-438a-9a0a-1e3c6ad87947},_c90d4df7-5fd7-438a-9a0a-1e3c6ad87947,01ANS T02 85\23,01   ANS  T-02  85/23,XF-01   ANS  T-02  85/23,true,75-T-02,02,PowerTransformer
600841,{08c12709-7830-4b41-ab18-0b4e86f6005b},_08c12709-7830-4b41-ab18-0b4e86f6005b,01   ANS,757578,{334bd09d-1ce5-4862-9a58-35f9caeb7fc3},_334bd09d-1ce5-4862-9a58-35f9caeb7fc3,01ANS T03 85\23,01   ANS  T-03  85/23,XF-01   ANS  T-03  85/23,true,75-T-03,03,PowerTransformer
600841,{08c12709-7830-4b41-ab18-0b4e86f6005b},_08c12709-7830-4b41-ab18-0b4e86f6005b,01   ANS,757584,{b65b68b2-01e6-4fd1-9090-cbebf0d578f3},_b65b68b2-01e6-4fd1-9090-cbebf0d578f3,01ANS T04 85\23,01   ANS  T-04  85/23,XF-01   ANS  T-04  85/23,true,75-T-04,04,PowerTransformer
600846,{a60f4223-9870-4666-9dee-b09e2b96c8c4},_a60f4223-9870-4666-9dee-b09e2b96c8c4,01   APA,758338,{cf1de19d-2d9e-4dbe-91c5-092960864081},_cf1de19d-2d9e-4dbe-91c5-092960864081,01APA T01 230\85,01   APA  T-01 230/85,XF-01   APA  T-01 230/85,true,97-T-01,01,PowerTransformer
600846,{a60f4223-9870-4666-9dee-b09e2b96c8c4},_a60f4223-9870-4666-9dee-b09e2b96c8c4,01   APA,758344,{e43f77fe-c69a-4bfa-a47d-a3bc131f70c2},_e43f77fe-c69a-4bfa-a47d-a3bc131f70c2,01APA T02 230\85,01   APA  T-02 230/85,XF-01   APA  T-02 230/85,true,97-T-02,02,PowerTransformer
