"PowerTransformer:
ID","PowerTransformer:
transformerType","PowerTransformer:
InternalId","PowerTransformer:
Name","PowerTransformer:
Parent","PowerTransformer:
ObjectType"
_1a8679d5-f9e7-4f4f-a781-9d51b4b10748,voltageControl,774880,01CMC T01 230\23,_f617b466-18d1-4fd2-aaa0-9800c2e77b52,PowerTransformer
_09fda9f6-ec34-4f60-b741-979c2bdba267,voltageControl,774886,01CMC T02 230\23,_f617b466-18d1-4fd2-aaa0-9800c2e77b52,PowerTransformer
_9728b5a2-3f9f-4b75-91a8-ddffce85afd4,voltageControl,774892,01CMC T03 230\23,_f617b466-18d1-4fd2-aaa0-9800c2e77b52,PowerTransformer
_fce74c0a-ddf3-4f79-8f19-1533fa54bd2e,voltageControl,775559,01COA T01 230\23,_a717c384-b712-4c9b-a457-8e0876358390,PowerTransformer
_718d32c6-7aea-490d-b14f-ba9e570091a1,voltageControl,775565,01COA T02 230\23,_a717c384-b712-4c9b-a457-8e0876358390,PowerTransformer
_a9a1992a-1bad-4fe2-9cb8-efce9b0f294b,voltageControl,775571,01COA T03 230\23,_a717c384-b712-4c9b-a457-8e0876358390,PowerTransformer
_94ac1ac3-02b5-4b4d-b382-e254b04d6af5,fix,775577,01COA T10 23\13.8,_a717c384-b712-4c9b-a457-8e0876358390,PowerTransformer
_959372d2-8bff-4575-bb72-4cc394c1bdd1,voltageControl,777527,01COY T01 230\23,_44afe934-2b41-45c0-b236-a7aed02bdedb,PowerTransformer
_5029b956-5696-4a99-bff3-dce62f0b668d,voltageControl,777533,01COY T02 230\23,_44afe934-2b41-45c0-b236-a7aed02bdedb,PowerTransformer
_fd423014-020f-4bcd-839b-1f7db49179d2,voltageControl,777539,01COY T03 230\23,_44afe934-2b41-45c0-b236-a7aed02bdedb,PowerTransformer
_158bd4df-7935-4ed4-97a2-68ce07d33c2e,voltageControl,778102,01CPG T01 230\23,_a530a49d-f99d-43d9-8a37-3d0193fcdab7,PowerTransformer
_67827b5f-f12f-4c7d-b27f-9c2d7d533810,voltageControl,778108,01CPG T02 230\23,_a530a49d-f99d-43d9-8a37-3d0193fcdab7,PowerTransformer
_838c7048-cbdb-4d15-bb97-70f29f0ad967,voltageControl,778114,01CPG T03 230\23,_a530a49d-f99d-43d9-8a37-3d0193fcdab7,PowerTransformer
_635af7b3-7223-4175-8c29-58b9d55cca07,voltageControl,779138,01CRG T01 230\85,_fb4f3d37-6bcd-420e-b8b6-09756a5175c1,PowerTransformer
_c9f9baef-efba-4416-baa8-5155860e0e5c,voltageControl,779144,01CRG T02 230\85,_fb4f3d37-6bcd-420e-b8b6-09756a5175c1,PowerTransformer
_b88c9b00-c805-4f3f-bee3-582e974e93e5,voltageControl,779150,01CRG T06 230\23,_fb4f3d37-6bcd-420e-b8b6-09756a5175c1,PowerTransformer
_597d6840-3c4b-479b-bfe9-7930bcd23452,voltageControl,779156,01CRG T07 230\23,_fb4f3d37-6bcd-420e-b8b6-09756a5175c1,PowerTransformer
_66c39a98-ae84-416d-abb3-8f3dd57fadfc,fix,779162,01CRG TCEV 230\13.5,_fb4f3d37-6bcd-420e-b8b6-09756a5175c1,PowerTransformer
_143bc04f-885b-4a16-9da1-677879ea93ff,voltageControl,779792,01CRM T01 85\23,_bcfa0919-05f6-4c63-b335-f4149e2df36a,PowerTransformer
_c2b14eb5-0b65-42b5-b863-a59ff0583aa5,voltageControl,779798,01CRM T02 85\23,_bcfa0919-05f6-4c63-b335-f4149e2df36a,PowerTransformer
_7c0b9ec8-2544-49c7-a842-03399e83b36a,voltageControl,780168,01CRS T01 230\23,_22231d46-53fd-485a-a193-7656d9ee1a34,PowerTransformer
_66025f14-d2be-48b1-a63b-45831e52cc9f,voltageControl,780174,01CRS T02 230\23,_22231d46-53fd-485a-a193-7656d9ee1a34,PowerTransformer
_cf07705c-b2b6-4e42-95dd-7692c632696b,voltageControl,780180,01CRS T03 230\23,_22231d46-53fd-485a-a193-7656d9ee1a34,PowerTransformer
_beec5499-1674-4dc5-86d7-3bda71e53ea2,voltageControl,781174,01CRU T05 230\23,_ab8ab0f6-4f3c-40fb-8224-316d629c2ebb,PowerTransformer
_32c0f663-a246-4f08-8c73-5ec90899b431,voltageControl,781180,01CRU T06 230\23,_ab8ab0f6-4f3c-40fb-8224-316d629c2ebb,PowerTransformer
_be892656-78a1-4ea6-a954-fdfce07579b3,voltageControl,781186,01CRU T07 230\23,_ab8ab0f6-4f3c-40fb-8224-316d629c2ebb,PowerTransformer
_f3e1111c-a017-41cc-979e-400b4f2ef19f,fix,781192,01CRU T10 23\13.8,_ab8ab0f6-4f3c-40fb-8224-316d629c2ebb,PowerTransformer
_a68f9b26-ca71-4c39-a703-de91c6a74621,voltageControl,783001,01CTD T01 230\23,_a30c8527-00b6-4a8f-8885-c7a35af07651,PowerTransformer
_39ed7897-4b8c-4f19-bf7c-922994a62817,voltageControl,783007,01CTD T02 230\23,_a30c8527-00b6-4a8f-8885-c7a35af07651,PowerTransformer
_36f7780e-ac2b-47c6-b8cf-bc7d8ff9eda3,voltageControl,783013,01CTD T03 230\23,_a30c8527-00b6-4a8f-8885-c7a35af07651,PowerTransformer
_e02111ac-f968-46dc-88ba-b33b0b0beded,voltageControl,783489,01CTG T01 230\23,_da18e1e3-a37b-46cc-81c9-01297c8fdc83,PowerTransformer
_d272e7c4-8d59-4b34-944e-1cce507f90b0,voltageControl,783495,01CTG T02 230\23,_da18e1e3-a37b-46cc-81c9-01297c8fdc83,PowerTransformer
_6358a5b3-fc07-4d3c-841a-f2875736d6c0,voltageControl,783501,01CTG T03 230\23,_da18e1e3-a37b-46cc-81c9-01297c8fdc83,PowerTransformer
_dc9459a5-7224-400b-b333-2953cbe4f7ca,voltageControl,784184,01CTT T01 85\23,_a9c92b27-33b0-41fe-adaf-6120d63bc92a,PowerTransformer
_40262cb5-3d0c-49de-95e2-7abaeae9ee32,voltageControl,784190,01CTT T02 85\23,_a9c92b27-33b0-41fe-adaf-6120d63bc92a,PowerTransformer
_3e398ca1-b8fc-4f1d-ad33-2003474a3be3,voltageControl,784196,01CTT T03 85\23,_a9c92b27-33b0-41fe-adaf-6120d63bc92a,PowerTransformer
_2903bdfb-971e-45c3-9a89-3cc299c6eac4,voltageControl,784202,01CTT T04 85\23,_a9c92b27-33b0-41fe-adaf-6120d63bc92a,PowerTransformer
_db239d26-a25f-48c7-b0a7-6652252763e3,voltageControl,784208,01CTT T05 85\23,_a9c92b27-33b0-41fe-adaf-6120d63bc92a,PowerTransformer
_e328ecbf-cb83-4a29-ba1e-a49a9982f655,fix,784214,01CTT T10 23\13.8,_a9c92b27-33b0-41fe-adaf-6120d63bc92a,PowerTransformer
_4ac209a0-407c-4e63-a866-d5f3bf2acff4,voltageControl,785831,01CUL T01 230\23,_8045dca8-eef8-47ce-9700-2cb22938c6a1,PowerTransformer
_e4c51fc7-91f9-4a49-8bd0-39fd29d5a5d1,voltageControl,785837,01CUL T02 230\23,_8045dca8-eef8-47ce-9700-2cb22938c6a1,PowerTransformer
_265b64d7-02c8-4a23-880e-923c2379764c,voltageControl,792110,01CVD T01 85\23,_08b55dc3-dc68-4f0d-b234-b3332fa4095e,PowerTransformer
_cdf816eb-4325-4bc3-8091-851d381071bf,fix,792550,01CYO T10 23\13.8,_f241baa6-e8e4-43a4-94d6-0c2239dc0836,PowerTransformer
_643e2bcb-9467-4086-bcdf-0c36f848a8b2,voltageControl,792555,01CYO T01 85\23,_f241baa6-e8e4-43a4-94d6-0c2239dc0836,PowerTransformer
_cae5ab8a-e36c-4e23-9e8a-f186de71fd7e,fix,792561,01CYO T20 23\13.8,_f241baa6-e8e4-43a4-94d6-0c2239dc0836,PowerTransformer
_b6f78ed7-5683-4755-8106-8abf25d4dadc,voltageControl,792566,01CYO T02 85\23,_f241baa6-e8e4-43a4-94d6-0c2239dc0836,PowerTransformer
_4be5269c-7635-4f73-970e-73f0205e037b,voltageControl,792572,01CYO T03 85\23,_f241baa6-e8e4-43a4-94d6-0c2239dc0836,PowerTransformer
_13e376c8-2918-4c72-b606-1e7ddde40cf1,voltageControl,794222,01DAA T01 230\23,_b64983d6-5a57-4765-bd68-6d94eb373a4a,PowerTransformer
_059011ad-9e29-4651-98e1-b87d27eb387c,voltageControl,794228,01DAA T02 230\23,_b64983d6-5a57-4765-bd68-6d94eb373a4a,PowerTransformer
_65f4be79-618f-48c5-9d4e-6b9e04f26f4d,voltageControl,794494,01DCA T01 85\23,_f3b39758-1b00-4011-a9dd-464ff709b7df,PowerTransformer
_b048eb37-2947-40f0-8ef3-a4cb727349ca,voltageControl,795292,01DOG T01 400\115,_eb701fa7-859a-47ce-8208-64322e88950f,PowerTransformer
_5ec362a1-437e-4e1a-915b-96105e5aaf73,voltageControl,795298,01DOG T02 400\115,_eb701fa7-859a-47ce-8208-64322e88950f,PowerTransformer
_701de4a3-ec44-41e2-9dc6-02bbff44041e,voltageControl,795744,01DVA T03 230\23,_af828858-abd2-444c-8e57-86aa9750b09e,PowerTransformer
_5af4188e-45e3-4821-b659-ed6452a4622a,voltageControl,795750,01DVA AT01 400\230,_af828858-abd2-444c-8e57-86aa9750b09e,PowerTransformer
_c0464446-f426-4d89-ac36-0458cb292fda,voltageControl,795756,01DVA AT02 400\230,_af828858-abd2-444c-8e57-86aa9750b09e,PowerTransformer
_f3b61ce8-f198-4dd2-91c1-eb25e24a9add,voltageControl,796192,01ECA T01 230\23,_f44a66ca-9c46-48d0-b848-cdc9e0a9781b,PowerTransformer
_ff2074d0-168c-40a6-a28e-9731a06cf006,voltageControl,796198,01ECA T02 230\23,_f44a66ca-9c46-48d0-b848-cdc9e0a9781b,PowerTransformer
_1ec19912-c6d1-4990-8484-a125af41424b,voltageControl,796204,01ECA T03 230\23,_f44a66ca-9c46-48d0-b848-cdc9e0a9781b,PowerTransformer
_5dc2727d-34cb-4b7c-9444-3600add309b9,fix,796210,01ECA T10 23\13.8,_f44a66ca-9c46-48d0-b848-cdc9e0a9781b,PowerTransformer
