"RatioVariation:
InternalId","RatioVariation:
ID","RatioVariation:
Name","RatioVariation:
TapPosition","RatioVariation:
Parent","RatioVariation:
ObjectType","TapChanger:
InternalId","TapChanger:
Name","RatioVariation:
RatioVariationMemberOfTapChanger:
TapChanger:
ID","TapChanger:
Parent","TapChanger:
ObjectType"
770376,_604eff59-3c8e-4db6-b14d-406f54907931,RatioVar_20,20,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770377,_de0adca4-a5fe-4d73-be5f-89eb1889d581,RatioVar_21,21,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
781201,_2d1d700b-02dc-4c40-a2ae-3e6041edbc50,RatioVar_6,6,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781202,_8e62d1b0-dadb-4217-8b41-015da44a4661,RatioVar_7,7,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781203,_37a85db8-c344-4c8f-a87c-38b04221964b,RatioVar_8,8,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781204,_ddb3fc3d-548d-4cee-84bd-65d9cb4f51a2,RatioVar_9,9,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781205,_04e31aab-a3d0-4936-9bca-9b3d7e8f95c9,RatioVar_10,10,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781206,_198c7ee1-c892-468d-bacf-63e7874fbff1,RatioVar_11,11,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781207,_1abb34fb-d33c-47c0-965e-af877dd1a076,RatioVar_12,12,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781208,_3798e852-0926-4ee4-a28c-2fcbca7ec5e1,RatioVar_13,13,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781209,_57cc8491-b6fd-40cf-86b1-f00178581db1,RatioVar_14,14,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781210,_978c277e-56d3-409d-a158-848351c8eb4d,RatioVar_15,15,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781211,_a5afa4ce-fe06-4a34-aea0-c089a08ea692,RatioVar_16,16,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781212,_c6715ac1-8a62-49a7-b67d-5222912a41b1,RatioVar_17,17,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781213,_6405a8b1-8904-4cc4-9b6f-b9bb55595cea,RatioVar_18,18,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781214,_b34933b1-f79f-431a-8e18-f6f9822e58b4,RatioVar_19,19,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781215,_7b7518f4-f825-43eb-82d0-4eeb3ae71001,RatioVar_20,20,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781216,_c6965813-174d-49b0-94ba-0524243358bb,RatioVar_21,21,_6db0532e-b955-491d-82c1-110610d84f3e,RatioVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781240,_8b065fae-5dcd-4f47-a820-a0b642e22324,RatioVar_6,6,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781241,_4fde9bf8-f5a3-4eda-9edc-f938f9e2e5ca,RatioVar_7,7,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781242,_17b235c6-ee4d-4941-a76c-f9da40596c0d,RatioVar_8,8,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781243,_dc94db55-cf92-466a-9228-754e3fc1b2a1,RatioVar_9,9,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781244,_8ebbc694-a607-41ec-9b5f-91e298f24143,RatioVar_10,10,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781245,_8bb5fd0c-46e4-4b1f-a4fe-57b236297f0c,RatioVar_11,11,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781246,_06e5855c-cafd-477e-9121-e8751b77ba51,RatioVar_12,12,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781247,_1fce0a95-a97a-4139-a326-cb6ac97e9b05,RatioVar_13,13,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781248,_c20b0c90-f1c8-4977-a60d-4e3c279ac056,RatioVar_14,14,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781249,_f75d60e8-27c4-45ae-b6fc-2ac3784a9f72,RatioVar_15,15,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781250,_516ee518-b833-412f-a6d7-bdde964c5638,RatioVar_16,16,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
