"GeneratingUnit:
ID","GeneratingUnit:
Name","GeneratingUnit:
AGCFlag","GeneratingUnit:
MaximumDeratedMW","GeneratingUnit:
maxOperatingP","GeneratingUnit:
MinimumDeratedMW","GeneratingUnit:
minOperatingP","GeneratingUnit:
ratedNetMaxP","GeneratingUnit:
ratedNetMinP","GeneratingUnit:
InternalId","GeneratingUnit:
Parent","GeneratingUnit:
ObjectType"
_6b73c245-7fa4-42c3-a498-cdcb894f4c49,06CJO-U3 Unit,true,21,21,0,0,21,0,2364236,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_50a077ed-4124-4166-81b1-6883808868ad,06CJO-U4 Unit,true,18,18,0,0,18,0,2364237,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_820cc9ad-212e-430e-80db-c1ef12da5e1c,06CJO-U5 Unit,true,21,21,0,0,21,0,2364238,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_0e20f202-eeff-444c-816d-9c3824f33cf7,06CJO-U6 Unit,true,18,18,0,0,18,0,2364239,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_017fc890-d71c-431c-b79b-85be3f2571e0,06CJO-U7 Unit,true,24,24,0,0,24,0,2364240,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_64077628-1c41-4e11-9b85-5cdbd8fe935a,06CJO-U8 Unit,true,27,27,0,0,27,0,2364241,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_262d4d36-4b7d-4a61-8ced-092aa2d6f0f6,06CJO-U9 Unit,true,15,15,0,0,15,0,2364242,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_77fe3ab2-5249-4739-98bd-af828ec2f6d0,06DLS-U1 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364258,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_0e409175-04bc-4210-83e3-18640a0f028e,06DLS-U10 Unit,true,23.100000000000001,23.100000000000001,0,0,23.100000000000001,0,2364259,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_ec2a4e03-387f-4ae0-beea-710f88ad213a,06DLS-U11 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364260,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_44ee080c-5e76-461d-a2d6-a0043dbed7ac,06DLS-U12 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364261,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_525cfe2d-d795-4450-b8e1-b98131261b27,06DLS-U13 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364262,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_9777c200-bf38-4b36-b9e0-3e7095534350,06DLS-U14 Unit,true,16.5,16.5,0,0,16.5,0,2364263,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_e008f042-0a9c-4ae5-a82e-3c18517187d4,06DLS-U15 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364264,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_ee3d2582-b9e9-4ca0-a838-f15221f89a5a,06DLS-U2 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364265,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_009b1c49-2a9b-42a9-814c-136c8363e5b1,06DLS-U3 Unit,true,16.5,16.5,0,0,16.5,0,2364266,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_d04d7931-19bc-43dc-9bfe-c41a196b4975,06DLS-U4 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364267,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_1a4c1671-39a7-40db-88c9-126caff59656,06DLS-U5 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364268,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_1196aaa5-408d-4be4-aeaf-e929baeddb72,06DLS-U6 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364269,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_b7cf7cb5-f4b6-4fb1-af3d-1bf81cb60aeb,06DLS-U7 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364270,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
_8eabdcb3-8cb6-4841-9918-5f87e1f3ddfe,06DLS-U9 Unit,true,19.800000000000001,19.800000000000001,0,0,19.800000000000001,0,2364271,_dd08078c-6a20-4416-8596-f3537f737150,WindGeneratingUnit
