"ThermalGeneratingUnit:
ID","ThermalGeneratingUnit:
PhysicalUnitType","ThermalGeneratingUnit:
InternalId","ThermalGeneratingUnit:
Name","ThermalGeneratingUnit:
Parent","ThermalGeneratingUnit:
ObjectType"
_49ba63a6-da25-409c-bff4-d61384c10dcb,Fossil Fired Steam,2412138,03SAU-U7 Unit,_30c1cc77-4add-4d89-a583-cd58ec37811a,ThermalGeneratingUnit
_86b0095e-d672-40ab-b5ff-654aa8d13bc4,Combined Cycle Logical Unit (NA Flag should be false),2412180,03SAU-PQ3 Unit,_98dfd6a1-35bd-46cc-8731-d4d9bfbdaf9c,ThermalGeneratingUnit
_c1e0a30e-8e87-4d1c-91f2-83d60c6f8efa,Fossil Fired Steam,2412193,03SAU-U4 Unit,_98dfd6a1-35bd-46cc-8731-d4d9bfbdaf9c,ThermalGeneratingUnit
_674f1251-a24b-49e0-aa69-cc6a40d174af,Gas Turbine (can only burn gas),2412204,03SAU-U8 Unit,_98dfd6a1-35bd-46cc-8731-d4d9bfbdaf9c,ThermalGeneratingUnit
_c0112569-bbf8-4c1b-aa78-5b9c7e321d54,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2431883,05BIG-U1 Unit,_bf93dada-4049-4081-bb1b-10be81ad087d,ThermalGeneratingUnit
_d5975c5c-8460-4b5e-947f-ac57eae1c1e1,Gas Turbine (can only burn gas),2431897,05BIO-U1 Unit,_daf72513-e128-4793-b904-30b9aaaa5dc5,ThermalGeneratingUnit
_f44cbf84-8bee-445c-a79c-68821a5092aa,Gas Turbine (can only burn gas),2431908,05BIO-U2 Unit,_daf72513-e128-4793-b904-30b9aaaa5dc5,ThermalGeneratingUnit
_bf8a093c-7726-45c9-b860-4b2a4fe90c47,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2431921,05CTP-U1 Unit,_efaa241f-7bfa-44ee-8adb-712e540340f0,ThermalGeneratingUnit
_21761a13-052f-4fa2-88ee-bfaf83ef92f2,Gas Turbine (can only burn gas),2431935,05CZU-U1 Unit,_c301273c-7b2a-4e99-ab71-55dad013fb37,ThermalGeneratingUnit
_f1532bdf-abd8-4fdc-a56b-bd645d794624,Gas Turbine (can only burn gas),2431948,05CZU-U2 Unit,_c301273c-7b2a-4e99-ab71-55dad013fb37,ThermalGeneratingUnit
