ID,Path,Name,NAFlag,InternalId,Parent,ObjectType
_196ff994-1894-46b9-bd5a-a29c46f902c6,Network/Companies/SIN/02ORI/02SURSOY/115/02SURSOY B1  115   A,02SURSOY B1  115   A,true,1149838,_bf3f1a4c-5bb5-41a9-b407-6372b48517ad,BusbarSection
_234a3108-e6d0-4eb0-b38a-8c46746d9dda,Network/Companies/SIN/02ORI/02SURSOY/13.8/02SURSOY B1  13.8  A,02SURSOY B1  13.8  A,true,1149879,_9e3c047a-8ef8-4084-93d9-513a58e84879,BusbarSection
_15572d5d-1c97-4d56-894f-a6e4f5ea1014,Network/Companies/SIN/02ORI/02SURSWA/115/02SURSWA B1  115   A,02SURSWA B1  115   A,true,1150029,_ad67c102-751e-4036-bad8-69ab7ed32c99,BusbarSection
_7e75dced-8ea3-481b-9ac1-eef30cf9a7a9,Network/Companies/SIN/02ORI/02SURSWA/115/02SURSWA BT  115   B,02SURSWA BT  115   B,true,1150031,_ad67c102-751e-4036-bad8-69ab7ed32c99,BusbarSection
_a5081cdf-10c2-42b6-8a57-41e23461deac,Network/Companies/SIN/02ORI/02SURSWV/115/02SURSWV B1  115   A,02SURSWV B1  115   A,true,1150107,_25e890da-4828-4c89-bd95-ef4d5f32b06c,BusbarSection
_88a2378f-5345-42ae-9781-dbb2ab422d72,Network/Companies/SIN/02ORI/02SURSYA/115/02SURSYA B1  115   A,02SURSYA B1  115   A,true,1150174,_3cabdc1d-9b7a-4679-bfe5-e15b50e508e9,BusbarSection
_fc79032d-0b4d-4aa4-89d1-95b173d778f1,Network/Companies/SIN/02ORI/02SURSYA/115/02SURSYA B2  115   B,02SURSYA B2  115   B,true,1150176,_3cabdc1d-9b7a-4679-bfe5-e15b50e508e9,BusbarSection
_a8cdf8cf-5b84-4633-aa8c-28285290c1e5,Network/Companies/SIN/02ORI/02SURSYA/13.8/02SURSYA B1  13.8  A,02SURSYA B1  13.8  A,true,1150223,_3398ac03-d73f-4fc1-810d-8fe99dc29dee,BusbarSection
_50701dab-a6f9-4ac4-8e63-391f818867c9,Network/Companies/SIN/02ORI/02SURSYA/13.8/02SURSYA B2  13.8  B,02SURSYA B2  13.8  B,true,1150225,_3398ac03-d73f-4fc1-810d-8fe99dc29dee,BusbarSection
_4bc5ae41-7941-481f-bbf4-a4d726dd007f,Network/Companies/SIN/02ORI/02SURTAE/115/02SURTAE B1  115   A,02SURTAE B1  115   A,true,1150505,_6d6dd760-250f-4c17-aa34-4983b268b9b2,BusbarSection
_08f73777-d77a-4480-9fdf-50d5efebbbe9,Network/Companies/SIN/02ORI/02SURTAE/13.8/02SURTAE B1  13.8  A,02SURTAE B1  13.8  A,true,1150580,_14293e45-a7da-4d8a-8f62-a858a2167ad3,BusbarSection
_78266bed-6ae9-4b24-bf3b-575f9157d22c,Network/Companies/SIN/02ORI/02SURTAT/115/02SURTAT B1  115   A,02SURTAT B1  115   A,true,1150762,_87a6783d-d89a-4528-aeb0-1e06d1e22479,BusbarSection
_d97b7b89-cc2f-4846-9053-ddb431a12814,Network/Companies/SIN/02ORI/02SURTAT/115/02SURTAT BT  115   B,02SURTAT BT  115   B,true,1150764,_87a6783d-d89a-4528-aeb0-1e06d1e22479,BusbarSection
_59679d8d-d473-4485-b9e4-e50e7da57c21,Network/Companies/SIN/02ORI/02SURTAT/13.8/02SURTAT B1  13.8  A,02SURTAT B1  13.8  A,true,1150852,_2c503aad-a514-472f-a2b5-a78379e292fb,BusbarSection
_f66eab53-a217-4dad-bc2a-928f8cbfe9a0,Network/Companies/SIN/02ORI/02SURTAT/13.8/02SURTAT B2  13.8  B,02SURTAT B2  13.8  B,true,1150854,_2c503aad-a514-472f-a2b5-a78379e292fb,BusbarSection
_cd866d29-c788-49f2-af2a-05f92f2327ca,Network/Companies/SIN/02ORI/02SURTBQ/115/02SURTBQ B1  115   A,02SURTBQ B1  115   A,true,1151138,_f62f8255-3769-4611-85e4-620caa13fa68,BusbarSection
_1dc3ff82-96b8-44ec-8947-deecd8e69d8a,Network/Companies/SIN/02ORI/02SURTBQ/13.8/02SURTBQ B1  13.8  A,02SURTBQ B1  13.8  A,true,1151170,_90ca8e23-60aa-4174-a8e4-0c414d357ff6,BusbarSection
_b540092c-4789-4799-90e8-ca3cbdbf6ac1,Network/Companies/SIN/02ORI/02SURTCH/115/02SURTCH B1  115   A,02SURTCH B1  115   A,true,1151316,_fad31a29-11dc-40fa-94fb-77266582f8cc,BusbarSection
_1fdc00b9-ca87-44f6-acc5-6f1af0c00647,Network/Companies/SIN/02ORI/02SURTCH/115/02SURTCH B2  115   B,02SURTCH B2  115   B,true,1151318,_fad31a29-11dc-40fa-94fb-77266582f8cc,BusbarSection
_132afeca-6cdd-4999-8fcb-af62eb0fc616,Network/Companies/SIN/02ORI/02SURTCH/13.8/02SURTCH B1  13.8  A,02SURTCH B1  13.8  A,true,1151362,_eff2bf65-b12b-45d8-baef-4791adc44e03,BusbarSection
_9641aea6-d37f-44d0-867b-e85519dfb54a,Network/Companies/SIN/02ORI/02SURTCH/13.8/02SURTCH B2  13.8  B,02SURTCH B2  13.8  B,true,1151364,_eff2bf65-b12b-45d8-baef-4791adc44e03,BusbarSection
_f2dfe47b-d555-41ec-b3f7-2429b162954f,Network/Companies/SIN/02ORI/02SURTCT/115/02SURTCT B1  115   A,02SURTCT B1  115   A,true,1151658,_163e5802-ac6e-49a3-a8d0-194461bffda3,BusbarSection
_daa59f69-0935-43e6-a4fe-c49c0dba43f2,Network/Companies/SIN/02ORI/02SURTCT/13.8/02SURTCT B1  13.8  A,02SURTCT B1  13.8  A,true,1151702,_2959c6ee-2bfd-4111-a9ea-b25184eb497a,BusbarSection
_48205097-7b53-4ece-9104-ea2d34b4e244,Network/Companies/SIN/02ORI/02SURTCT/13.8/02SURTCT B2  13.8  B,02SURTCT B2  13.8  B,true,1151704,_2959c6ee-2bfd-4111-a9ea-b25184eb497a,BusbarSection
_70b6b1b6-30a5-42f4-af55-43cb56d84dcf,Network/Companies/SIN/02ORI/02SURTGD/115/02SURTGD B1  115   A,02SURTGD B1  115   A,true,1152002,_6816ba8c-bfaf-4e61-b8a9-760615dbf8d2,BusbarSection
_37c6c191-075a-45ba-9264-76142cfda80f,Network/Companies/SIN/02ORI/02SURTGD/115/02SURTGD BT  115   B,02SURTGD BT  115   B,true,1152004,_6816ba8c-bfaf-4e61-b8a9-760615dbf8d2,BusbarSection
_df9a8270-e23a-4c5b-b928-f423b45effeb,Network/Companies/SIN/02ORI/02SURTGD/13.8/02SURTGD B1  13.8  A,02SURTGD B1  13.8  A,true,1152084,_c8de85d9-7875-4c30-8580-aec26658611d,BusbarSection
_b65d871e-06f9-49d2-986b-d805e48192c0,Network/Companies/SIN/02ORI/02SURTGD/13.8/02SURTGD B2  13.8  B,02SURTGD B2  13.8  B,true,1152086,_c8de85d9-7875-4c30-8580-aec26658611d,BusbarSection
