"BusbarSection:
ID","BusbarSection:
Name","BusbarSection:
ctcpRegion","BusbarSection:
NAFlag","BusbarSection:
InternalId","BusbarSection:
Parent","BusbarSection:
ObjectType","MarketLoadZone:
Path","MarketLoadZone:
InternalId","MarketLoadZone:
Name","BusbarSection:
BusbarSectionAssignedToMarketLoadZone:
MarketLoadZone:
ID","MarketLoadZone:
Parent","MarketLoadZone:
ObjectType"
_342f1270-2bcd-49e3-b96f-c7c6fb21f7cb,01   ATE B2 85    B,10,true,761101,_de4f1de7-42ce-4ac1-b1f7-bcf9b55b7492,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_91382257-1b42-4144-a46a-1c5b3c241504,01   ATE B1 230   A,10,true,761257,_a063cca6-582d-43b2-8eac-6ee2d405e13b,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_8efc975c-106c-435b-89d1-20b4d46fe8eb,01   ATE B2 230   B,10,true,761259,_a063cca6-582d-43b2-8eac-6ee2d405e13b,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_13c10ecf-ef37-4137-a2c3-8f7bc1736fae,01   ATE BG 13.8  1,10,true,761381,_9bab7977-fa8f-4528-a114-c009a69c6a47,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_7a5ab9f3-43dd-48b7-9ff9-3f852f4b28ab,01   ATE BD 23    1,10,true,761410,_779418b7-8112-49c1-be44-22fbad233cfa,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_b3dd7284-3392-411f-ad7f-71a98914070d,01   ATE BD 23    2,10,true,761412,_779418b7-8112-49c1-be44-22fbad233cfa,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_b3f25ab7-9551-45c2-bcac-2db795c77615,01   ATE BD 23    3,10,true,761414,_779418b7-8112-49c1-be44-22fbad233cfa,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_a09bd7bf-3139-4203-ba65-0e6a88500b1d,01   ATI B1 230   1,10,true,763199,_a9a1d224-a0f8-4d0b-beb0-e5a8acaf06c5,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_6b25fcc4-428e-4c73-a90b-c38cfe18c9ff,01   ATI B2 230   2,10,true,763201,_a9a1d224-a0f8-4d0b-beb0-e5a8acaf06c5,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_94103601-19eb-4b8d-9dd9-af7abfb3bdac,01   ATI BD 23    A,10,true,763282,_1f7734de-6e6c-4ea1-8b79-5c17921e1a75,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_5c363b6e-f5fe-4a28-9d88-152c0267a8d1,01   ATI BD 23    B,10,true,763284,_1f7734de-6e6c-4ea1-8b79-5c17921e1a75,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_7077b475-1dbd-43da-8f79-7e72bca40cba,01   ATI BD 23    C,10,true,763286,_1f7734de-6e6c-4ea1-8b79-5c17921e1a75,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_63323a42-21f5-4a58-b96b-0482b3d4a068,01   ATK B1 230   A,10,true,763697,_4644522f-05eb-43fe-ad59-5c96e4d5ecd3,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_e6868700-3877-4bca-9684-46d07428e7bd,01   ATK B2 230   B,10,true,763699,_4644522f-05eb-43fe-ad59-5c96e4d5ecd3,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_4e1780d8-ca02-4938-95bd-66b8dccabb44,01   AUM B1  85    A,10,true,764017,_2a2e8ae2-0a8b-4f12-8d9b-e155b977a2ea,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_d74f2d0d-b834-4f57-ac89-a33c890950d3,01   AUR B1  85   A,10,true,764179,_a2907d01-da84-4fe1-a358-bd529a701ae6,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
