"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","GeneratingUnit:
Path","GeneratingUnit:
InternalId","GeneratingUnit:
Name","SynchronousMachine:
SynchronousMachineMemberOfGeneratingUnit:
GeneratingUnit:
ID","GeneratingUnit:
Parent","GeneratingUnit:
ObjectType"
_34137270-9fb6-4d76-b190-cd9de65fd8c4,795926,UN-01,_5d6e9908-c3e3-46af-af8e-cb2ed88d5d71,SynchronousMachine,Network/.Generation/01ECATEPEC/01ECA-U1 Unit,2102623,01ECA-U1 Unit,_e9006c2f-9cac-4de0-a088-88530acf3634,_5a01f48f-2f01-41ec-9c6e-9dfbf07ecb68,ThermalGeneratingUnit
_30d97bf3-ff39-438b-8b51-dfd0cbf06834,798166,UN-01,_27fd0ba2-4759-4cf9-875f-1c339bc07674,SynchronousMachine,Network/.Generation/01EL GALLO/01ELG-U1 Unit,2101948,01ELG-U1 Unit,_29be8d60-07f8-483f-a968-bc8b3b78f550,_4755aa85-df7d-483e-9890-45c229da2833,HydroGeneratingUnit
_48d9c7f0-b7d3-413f-a6dd-4da6e376f5d7,798168,UN-02,_27fd0ba2-4759-4cf9-875f-1c339bc07674,SynchronousMachine,Network/.Generation/01EL GALLO/01ELG-U2 Unit,2101949,01ELG-U2 Unit,_b8b795b9-1d28-44ae-a65a-95f7645b895d,_4755aa85-df7d-483e-9890-45c229da2833,HydroGeneratingUnit
_23808aae-75b2-44ef-9e50-5ace1b9b1fb9,799848,UNPTA,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine,Network/.Generation/01ENERGIA VALLE MEXICO/01GEV-PTA Unit,2102641,01GEV-PTA Unit,_3d4338b0-f4ba-4eb4-b8d2-b91fe7b25f28,_ca0e2b91-863e-43c5-8366-d98cc5ce5155,ThermalGeneratingUnit
_9850c245-5c7f-44e2-bb66-0ef9fddd0395,799850,UN-01,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine,Network/.Generation/01ENERGIA VALLE MEXICO/01GEV-U1 Unit,2102652,01GEV-U1 Unit,_4798c92c-d7fe-4b86-9d50-be158f9aaa8a,_ca0e2b91-863e-43c5-8366-d98cc5ce5155,ThermalGeneratingUnit
_365f4c50-4cca-4db4-87f2-d739aa0683d0,799852,UN-02,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine,Network/.Generation/01ENERGIA VALLE MEXICO/01GEV-U2 Unit,2102663,01GEV-U2 Unit,_86ebc51d-11ac-4330-b113-e749eaf63a6d,_ca0e2b91-863e-43c5-8366-d98cc5ce5155,ThermalGeneratingUnit
_ce4422c3-c7aa-4173-8b99-876c5a51ff3a,799854,UN-03,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine,Network/.Generation/01ENERGIA VALLE MEXICO/01GEV-U3 Unit,2102674,01GEV-U3 Unit,_a8194388-e3d7-45ca-ac98-69466316f8cb,_ca0e2b91-863e-43c5-8366-d98cc5ce5155,ThermalGeneratingUnit
_47d384c1-5755-42b5-babc-622404d2b19c,801763,UN-01,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,Network/.Generation/01INFIERNILLO/01INF-U1 Unit,2101957,01INF-U1 Unit,_1b9aefa7-c650-4414-a887-411b35711fc8,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
_da8931fa-4eda-4ce8-9983-41af95c9690f,801765,UN-02,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,Network/.Generation/01INFIERNILLO/01INF-U2 Unit,2102008,01INF-U2 Unit,_2363d2d5-5db9-40e1-b492-7d0f58ea2c98,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
_5a3e58f8-a2cf-4c97-8581-666c5d9d39fe,801767,UN-03,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,Network/.Generation/01INFIERNILLO/01INF-U3 Unit,2102059,01INF-U3 Unit,_793e34e4-ea3e-4b3a-a2d2-043a639e9a32,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
_91af2988-73d3-4ec9-9723-ffad532c323a,801769,UN-04,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,Network/.Generation/01INFIERNILLO/01INF-U4 Unit,2102110,01INF-U4 Unit,_77aeba98-064a-45d7-bdd7-00061c5e2af3,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
_a9cdc28f-9704-4e49-b9b5-fa4dbd34f360,801771,UN-05,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,Network/.Generation/01INFIERNILLO/01INF-U5 Unit,2102161,01INF-U5 Unit,_18532008-977c-4147-a0c2-33da5697a82b,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
_09a02ad3-18e3-496f-82fe-6fb315eff302,801773,UN-06,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine,Network/.Generation/01INFIERNILLO/01INF-U6 Unit,2102212,01INF-U6 Unit,_90c8745b-9af5-48f8-91da-791618b4b9c2,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
_d09ed293-541f-46cc-bce0-cf1e408dfe25,804300,UN-01,_62cd6088-bb61-4c02-ae9e-e42fed68869b,SynchronousMachine,Network/.Generation/01FV IUSASOL/01IUN-U1 Unit,2101932,01IUN-U1 Unit,_ea754386-b1e0-4e96-9dbc-d30c82f5cb0f,_8ee9ce1b-da0b-4536-a096-a11ca0c38b54,SolarGeneratingUnit
