"ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType","SynchronousMachine:
Path","SynchronousMachine:
InternalId","SynchronousMachine:
Name","ReactiveCapabilityCurve:
SynchronousMachineHasDefaultReactiveCapabilityCurve:
SynchronousMachine:
ID","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType"
_89f2bfc1-18a7-4fd5-a630-9bc01e8c0bf9,1438326,04CCT-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04CULCUU/13.8/UN-01,1438089,UN-01,_9a00b9a3-2df4-4b2f-a0f6-36ea0f025b6c,_30a3720c-63e7-42df-be5a-421591d96862,SynchronousMachine
_1cf2067f-42d9-464f-9f77-56bdf5618183,1446780,04UEN-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   UEN/13.2/UN-01,1446770,UN-01,_bd00a0ba-3c1c-4745-b718-308a75c13453,_3c9f8a2f-4e7f-4b58-b61f-cab4e622e0dc,SynchronousMachine
_915cc8c5-c9a3-4b16-ae12-e61a41a6fc3b,1446786,04UEN-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   UEN/13.2/UN-02,1446772,UN-02,_e7960bcf-a6c8-4f12-ac69-7240ece0e091,_3c9f8a2f-4e7f-4b58-b61f-cab4e622e0dc,SynchronousMachine
_ae2ca3f9-e805-46dc-89d4-52cb3a2dfabc,1446895,04TUD-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TUD/34.5/UN-01,1446822,UN-01,_0fc5067e-9570-4eff-84fe-445d4408df14,_c3755e58-cd7e-481f-907c-66748881637a,SynchronousMachine
_ebd66aab-facf-4233-b0b9-aba3dfe7d8f0,1447436,04TPO-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TPO/15/UN-01,1447016,UN-01,_0d16da10-8014-4afe-b333-73b68f8e7927,_40705115-5ce2-4db0-ba2b-567f4f7fb088,SynchronousMachine
_d9207b78-971b-406f-ae95-411b2b05b95c,1447442,04TPO-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TPO/15/UN-02,1447018,UN-02,_77ce5c37-9245-48ff-a315-7d7ab4ea695e,_40705115-5ce2-4db0-ba2b-567f4f7fb088,SynchronousMachine
_a2b5da45-9387-4df3-956e-d8887c7c60b0,1448204,04TPD-PTA,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TPD/21/UNPTA,1447875,UNPTA,_42574154-c87d-4a0d-8435-10668ca00a3b,_1f75a96b-10e4-4fdd-803c-da094e4377c9,SynchronousMachine
_7b845039-1579-4789-b7ee-c4220b27a2b1,1448210,04TPD-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TPD/21/UN-01,1447877,UN-01,_e0af2378-33c4-400b-92bb-10a4681cb0e4,_1f75a96b-10e4-4fdd-803c-da094e4377c9,SynchronousMachine
_7339af62-fed1-4b3a-91c8-d1cdd440941f,1448216,04TPD-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TPD/21/UN-02,1447879,UN-02,_dfb12edf-ea08-44e8-afa7-560a07b69f21,_1f75a96b-10e4-4fdd-803c-da094e4377c9,SynchronousMachine
_ce7cee8e-5fdf-4e80-87ca-33a55da0ef1f,1448222,04TPD-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TPD/21/UN-03,1447881,UN-03,_e7336754-2c54-4899-b598-ed778365eb74,_1f75a96b-10e4-4fdd-803c-da094e4377c9,SynchronousMachine
