"TransformerWinding:
ObjectType","TransformerWinding:
ID","TransformerWinding:
Path","TransformerWinding:
Name","TransformerWinding:
b_pu","TransformerWinding:
r_pu","TransformerWinding:
x_pu","TransformerWinding:
InternalId","TransformerWinding:
Parent"
TransformerWinding,_24a82b98-f66a-4353-9908-c4659076bf7a,Network/Companies/SIN/01CEL/01   ATE/01ATE T04 230\23/Baja,Baja,0,,,761585,_29901735-9392-458c-ae0f-7de5b9d94d06
TransformerWinding,_46b1e313-cca2-4ba9-8e71-7ed4570f106d,Network/Companies/SIN/01CEL/01   ATE/01ATE T05 230\23/Alta,Alta,0,0.0074999999999999997,0.291711,761589,_3845a0f6-8aca-4f16-b558-9c2524096da3
TransformerWinding,_d5752673-512c-4675-868d-458709a6d96e,Network/Companies/SIN/01CEL/01   ATE/01ATE T05 230\23/Baja,Baja,0,,,761591,_3845a0f6-8aca-4f16-b558-9c2524096da3
TransformerWinding,_36c5e54b-a883-4eaa-aaea-bda60ea973e8,Network/Companies/SIN/01CEL/01   ATE/01ATE T06 230\23/Alta,Alta,0,0.0074999999999999997,0.26258999999999999,761595,_4fd2703e-7eb0-443d-92dc-94b6893f3d27
TransformerWinding,_3d4b161d-79b8-4058-912a-1afef78f04fd,Network/Companies/SIN/01CEL/01   ATE/01ATE T06 230\23/Baja,Baja,0,,,761597,_4fd2703e-7eb0-443d-92dc-94b6893f3d27
TransformerWinding,_c587f001-76c3-4673-82a8-907a36874636,Network/Companies/SIN/01CEL/01   ATE/01ATE T07 85\23/Alta,Alta,0,0,0.43670999999999999,761601,_9bab28d0-33f8-4e56-b9fc-114488580c49
TransformerWinding,_7e773799-4890-4a01-937d-41b7d634da6f,Network/Companies/SIN/01CEL/01   ATE/01ATE T07 85\23/Baja,Baja,0,,,761603,_9bab28d0-33f8-4e56-b9fc-114488580c49
TransformerWinding,_83dbf4ea-e5a1-4ed4-bfbd-abf2ec4ed0d5,Network/Companies/SIN/01CEL/01   ATE/01ATE T10 23\13.8/Alta,Alta,0,0,0.13397999999999999,761607,_1a16e669-6d88-4ee6-8188-6be7c2eafbf4
TransformerWinding,_571a5a66-ff49-4d21-aef6-11db11051bcd,Network/Companies/SIN/01CEL/01   ATE/01ATE T10 23\13.8/Baja,Baja,0,,,761609,_1a16e669-6d88-4ee6-8188-6be7c2eafbf4
TransformerWinding,_babec7d2-9e29-435c-8947-d4722238f15c,Network/Companies/SIN/01CEL/01   ATI/01ATI T01 230\23/Alta,Alta,0,0.0074999999999999997,0.29507,763319,_27df3174-995d-4cce-9b84-254f79a5653b
TransformerWinding,_d72e1d13-4f29-463a-a704-9989a5434f48,Network/Companies/SIN/01CEL/01   ATI/01ATI T01 230\23/Baja,Baja,0,,,763321,_27df3174-995d-4cce-9b84-254f79a5653b
TransformerWinding,_48e4cf54-c46d-4fab-a710-ab9b1658702d,Network/Companies/SIN/01CEL/01   ATI/01ATI T02 230\23/Alta,Alta,0,0.0074999999999999997,0.29064000000000001,763325,_d6cd9eaa-a3dc-42fb-a185-0bdb878ac567
TransformerWinding,_6dfeb32c-99a1-4e6a-a1f5-278f5b4111ba,Network/Companies/SIN/01CEL/01   ATI/01ATI T02 230\23/Baja,Baja,0,,,763327,_d6cd9eaa-a3dc-42fb-a185-0bdb878ac567
TransformerWinding,_8aa0f94f-5f2c-46b7-8794-6eaaef9fd035,Network/Companies/SIN/01CEL/01   ATI/01ATI T03 230\23/Alta,Alta,0,0.0074999999999999997,0.29064000000000001,763331,_aa00bb24-532e-43d9-bd02-111eed89d365
TransformerWinding,_b18631f7-02f2-4bb9-9d82-69801d1e877e,Network/Companies/SIN/01CEL/01   ATI/01ATI T03 230\23/Baja,Baja,0,,,763333,_aa00bb24-532e-43d9-bd02-111eed89d365
TransformerWinding,_f4ecd081-e500-4309-bf38-54a1fc915f18,Network/Companies/SIN/01CEL/01   ATK/01ATK T01 230\23/Alta,Alta,0,0.0074999999999999997,0.28442000000000001,763769,_4080cf7f-8acf-424c-8c0c-981887baabc8
TransformerWinding,_ba94f7b8-2cd6-47cf-9dd2-fbb5cadab05f,Network/Companies/SIN/01CEL/01   ATK/01ATK T01 230\23/Baja,Baja,0,,,763771,_4080cf7f-8acf-424c-8c0c-981887baabc8
TransformerWinding,_7cb0819a-2b43-465e-8d24-66859fd010e9,Network/Companies/SIN/01CEL/01   ATK/01ATK T02 230\23/Alta,Alta,0,0.0074999999999999997,0.28420000000000001,763775,_9b99ce34-d434-4dd7-982b-037ca8de9268
TransformerWinding,_d50f2709-b6b8-45ac-b82a-4584ae9bebe4,Network/Companies/SIN/01CEL/01   ATK/01ATK T02 230\23/Baja,Baja,0,,,763777,_9b99ce34-d434-4dd7-982b-037ca8de9268
TransformerWinding,_dd9a33b5-f190-4476-a99d-3d9a1cc6a760,Network/Companies/SIN/01CEL/01   AUR/01AUR T01 230\85/Alta,Alta,0,0,0.17460000000000001,764536,_7a927574-94c8-4c15-ae28-71843451b72c
TransformerWinding,_ecaa4592-1e83-4881-b6c9-e46e6cfbe9dc,Network/Companies/SIN/01CEL/01   AUR/01AUR T01 230\85/Baja,Baja,0,,,764538,_7a927574-94c8-4c15-ae28-71843451b72c
