"SynchronousMachine:
ID","SynchronousMachine:
Path","SynchronousMachine:
Description","SynchronousMachine:
ShortID","SynchronousMachine:
Name","SynchronousMachine:
nodePkey","SynchronousMachine:
InternalId","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType"
_34137270-9fb6-4d76-b190-cd9de65fd8c4,Network/Companies/SIN/01CEL/01   ECA/13.8/UN-01,01ECA-U1,1,UN-01,01ECA-230,795926,_5d6e9908-c3e3-46af-af8e-cb2ed88d5d71,SynchronousMachine
_30d97bf3-ff39-438b-8b51-dfd0cbf06834,Network/Companies/SIN/01CEL/01   ELG/13.8/UN-01,01ELG-U1,1,UN-01,01ELG-115,798166,_27fd0ba2-4759-4cf9-875f-1c339bc07674,SynchronousMachine
_48d9c7f0-b7d3-413f-a6dd-4da6e376f5d7,Network/Companies/SIN/01CEL/01   ELG/13.8/UN-02,01ELG-U2,2,UN-02,01ELG-115,798168,_27fd0ba2-4759-4cf9-875f-1c339bc07674,SynchronousMachine
_23808aae-75b2-44ef-9e50-5ace1b9b1fb9,Network/Companies/SIN/01CEL/01   GEV/13.8/UNPTA,01GEV-PTA,99,UNPTA,,799848,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine
_9850c245-5c7f-44e2-bb66-0ef9fddd0395,Network/Companies/SIN/01CEL/01   GEV/13.8/UN-01,01GEV-U1,1,UN-01,01OTM-230,799850,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine
_365f4c50-4cca-4db4-87f2-d739aa0683d0,Network/Companies/SIN/01CEL/01   GEV/13.8/UN-02,01GEV-U2,2,UN-02,01OTM-230,799852,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine
_ce4422c3-c7aa-4173-8b99-876c5a51ff3a,Network/Companies/SIN/01CEL/01   GEV/13.8/UN-03,01GEV-U3,3,UN-03,01OTM-230,799854,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine
_47d384c1-5755-42b5-babc-622404d2b19c,Network/Companies/SIN/01CEL/01   INF/13.8/UN-01,01INF-U1,1,UN-01,01PIT-400,801763,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_da8931fa-4eda-4ce8-9983-41af95c9690f,Network/Companies/SIN/01CEL/01   INF/13.8/UN-02,01INF-U2,2,UN-02,01PIT-400,801765,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_5a3e58f8-a2cf-4c97-8581-666c5d9d39fe,Network/Companies/SIN/01CEL/01   INF/13.8/UN-03,01INF-U3,3,UN-03,01PIT-400,801767,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_91af2988-73d3-4ec9-9723-ffad532c323a,Network/Companies/SIN/01CEL/01   INF/13.8/UN-04,01INF-U4,4,UN-04,01PIT-400,801769,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_a9cdc28f-9704-4e49-b9b5-fa4dbd34f360,Network/Companies/SIN/01CEL/01   INF/13.8/UN-05,01INF-U5,5,UN-05,01PIT-400,801771,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_09a02ad3-18e3-496f-82fe-6fb315eff302,Network/Companies/SIN/01CEL/01   INF/13.8/UN-06,01INF-U6,6,UN-06,01PIT-400,801773,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_d09ed293-541f-46cc-bce0-cf1e408dfe25,Network/Companies/SIN/01CEL/01   IUN/0.4/UN-01,01IUN-U1,1,UN-01,01IUN-115,804300,_62cd6088-bb61-4c02-ae9e-e42fed68869b,SynchronousMachine
_b0cb8c30-eb50-468c-8789-65ccdce609fb,Network/Companies/SIN/01CEL/01   IZT/13.8/UN-01,01IZT-U1,1,UN-01,01IZT-230,805113,_28f54f20-34ce-460e-ba9b-229683b7fdf7,SynchronousMachine
_263d55b6-0530-4d8c-bde7-0142b72ae216,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-01,01JOL-U1,1,UN-01,NA,810218,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine
_c46467e3-ee24-45ab-ab57-133d071dac81,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-02,01JOL-U2,2,UN-02,NA,810220,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine
